instance,bestsol,commit,time,optimal,score
L_abs10n100_2_H,53368.43,v9.2,1444.159,False,4.9998888388937
L_abs10n100_2_L,17503.69,v6,1399.381,False,10
L_abs10n100_3_H,57430.27,v4.2,470.866,False,10
L_abs10n100_3_L,21174.53,v4.2,567.975,False,10
L_abs10n100_4_H,60377.45,v9,1474.869,False,10
L_abs10n100_4_L,24160.13,v6,1336.88,False,10
L_abs10n100_5_H,64140.06,v3,1265.53,False,10
L_abs10n100_5_L,29941.28,v9.1,1187.304,False,10
L_abs10n200_2_H,101622.4,v7.2,193.986,False,4.4140988789055
L_abs10n200_2_L,33228.6,v9,1415.804,False,10
L_abs10n200_3_H,108686.14,v9,1562.413,False,9.0957399556635
L_abs10n200_3_L,33097.6,v7.2,226.763,False,10
L_abs10n200_4_H,110391.03,v7.2,477.815,False,9.070513295531
L_abs10n200_4_L,38841.61,v3,1282.707,False,10
L_abs10n200_5_H,113576.53,v4.2,1506.957,False,9.7710954345698
L_abs10n200_5_L,40477.73,v4.1,451.317,False,10
L_abs10n50_2_H,29407.65,v6,663.998,False,0.10010810722494
L_abs10n50_2_L,10795.71,v4,1571.064,False,-0.021207631042797
L_abs10n50_3_H,31616.34,v5,735.444,False,1.2515396050797
L_abs10n50_3_L,13310.03,v9.2,1555.847,False,6.1959746151502
L_abs10n50_4_H,34051.97,v7.2,1490.212,False,3.0145673230075
L_abs10n50_4_L,16417.49,v6,323.217,False,10
L_abs10n50_5_H,37450.56,v5,1453.15,False,7.895592048401
L_abs10n50_5_L,18337.59,v5,380.948,False,10
L_abs1n100_2_H,52807.7,v5,1393.919,False,0.87502051112873
L_abs1n100_2_L,16789.14,v7.2,1582.504,False,2.8996637049576
L_abs1n100_3_H,56729.33,v0,1187.946,False,5.8186981404378
L_abs1n100_3_L,19635.28,v9.2,1351.592,False,10
L_abs1n100_4_H,61954.3,v7,189.719,False,10
L_abs1n100_4_L,26882.53,v4.2,807.562,False,10
L_abs1n100_5_H,66032.33,v9.1,1414.795,False,10
L_abs1n100_5_L,28925.21,v9,1486.971,False,10
L_abs1n200_2_H,105447.21,v7.2,1129.516,False,6.6750397070279
L_abs1n200_2_L,31036.26,v1,1552.823,False,10
L_abs1n200_3_H,110299.33,v7.1,268.506,False,9.560018991843
L_abs1n200_3_L,33163.33,v0,235.102,False,10
L_abs1n200_4_H,113205.24,v7.2,282.454,False,10
L_abs1n200_4_L,37120.84,v4.1,940.847,False,10
L_abs1n200_5_H,117470.32,v7.2,1275.617,False,10
L_abs1n200_5_L,39934.83,v9.1,1303.956,False,10
L_abs1n50_2_H,28592.39,v4.2,726.143,False,0.91311856176768
L_abs1n50_2_L,11209.82,v6,1074.143,False,-2.4280231913425
L_abs1n50_3_H,30648.94,v5,643.608,False,0.14978874689167
L_abs1n50_3_L,13450.51,v9,1173.737,False,3.2907412768709
L_abs1n50_4_H,32874.39,v6,1464.114,False,0.95930780707094
L_abs1n50_4_L,16021.2,v9,174.628,False,4.3321969659969
L_abs1n50_5_H,36126.93,v7.1,1131.426,False,4.0060860102374
L_abs1n50_5_L,20189.82,v9.2,536.973,False,10
L_abs2n100_2_H,50682.54,v5,1559.613,False,4.3824638834797
L_abs2n100_2_L,16384.8,v6,1434.607,False,7.6227528508719
L_abs2n100_3_H,51270.97,v5,1389.39,False,3.9644860627973
L_abs2n100_3_L,18322.84,v9.1,1406.331,False,10
L_abs2n100_4_H,57541.71,v5,1040.556,False,10
L_abs2n100_4_L,23285.9,v7.2,114.913,False,10
L_abs2n100_5_H,60716.46,v7.2,140.558,False,10
L_abs2n100_5_L,27797.78,v9.1,1358.803,False,10
L_abs2n200_2_H,107248.81,v4.2,634.479,False,6.3891853821125
L_abs2n200_2_L,31182.19,v4.2,607.106,False,10
L_abs2n200_3_H,112148.59,v9.2,1328.971,False,9.8089994575573
L_abs2n200_3_L,31621.31,v4.2,895.813,False,10
L_abs2n200_4_H,114880.65,v7,331.842,False,10
L_abs2n200_4_L,39104.12,v7.2,1114.374,False,10
L_abs2n200_5_H,117322.52,v4.2,1258.655,False,10
L_abs2n200_5_L,38714.72,v5,1575.491,False,10
L_abs2n50_2_H,28122.91,v2,1571.608,False,0.077256487267441
L_abs2n50_2_L,12078.67,v9.1,1369.383,False,3.2007723822096
L_abs2n50_3_H,31196.7,v7.2,551.751,False,4.0843759831926
L_abs2n50_3_L,14213.62,v5,865.039,False,3.3994552723929
L_abs2n50_4_H,33646.07,v9,525.643,False,4.6046012746774
L_abs2n50_4_L,17421.04,v7,1430.204,False,10
L_abs2n50_5_H,36510.67,v9,508.967,False,6.2626895870878
L_abs2n50_5_L,21160.6,v9,1336.851,False,10
L_abs3n100_2_H,54514.2,v7.1,1564.284,False,2.3773144392161
L_abs3n100_2_L,17691.46,v6,410.638,False,8.3189960778167
L_abs3n100_3_H,58965.99,v5,877.992,False,8.5595558789264
L_abs3n100_3_L,21915.22,v9.2,1472.859,False,10
L_abs3n100_4_H,63353.26,v4.1,1202.076,False,10
L_abs3n100_4_L,25501.13,v9.2,1254.036,False,10
L_abs3n100_5_H,65469.77,v9.1,1582.861,False,10
L_abs3n100_5_L,27616.53,v4.2,1052.01,False,10
L_abs3n200_2_H,101873.05,v7.2,186.709,False,4.9200218629188
L_abs3n200_2_L,32388.53,v2,1553.064,False,10
L_abs3n200_3_H,107326.52,v9,1508.522,False,8.5142080066326
L_abs3n200_3_L,35919.58,v7.2,169.651,False,10
L_abs3n200_4_H,110872.63,v7.1,1160.706,False,10
L_abs3n200_4_L,38701.32,v7.2,1009.338,False,10
L_abs3n200_5_H,114858.02,v9.2,666.032,False,10
L_abs3n200_5_L,40537.53,v5,1580.477,False,10
L_abs3n50_2_H,27514.93,v9.1,1573.539,False,-0.33364677995178
L_abs3n50_2_L,11371.41,v9.2,1409.326,False,2.5630364274608
L_abs3n50_3_H,29113.74,v9.2,1071.652,False,1.4289506744455
L_abs3n50_3_L,13048.51,v7,528.162,False,6.3968525766471
L_abs3n50_4_H,31616.59,v7.2,1596.492,False,4.8597904567962
L_abs3n50_4_L,15915,v9.1-3-g272080f,256.851,False,10
L_abs3n50_5_H,33720.97,v9,1572.211,False,6.5409927742514
L_abs3n50_5_L,17065.1,v9.1,1385.922,False,10
L_abs4n100_2_H,48776.64,v9.2,1305.534,False,3.2799464719782
L_abs4n100_2_L,16515.48,v5,1332.281,False,7.6695101717512
L_abs4n100_3_H,53268.7,v9,538.309,False,10
L_abs4n100_3_L,21017.47,v9.1,1549.315,False,10
L_abs4n100_4_H,56485.48,v9,1599.571,False,10
L_abs4n100_4_L,25575.27,v5,1510.438,False,10
L_abs4n100_5_H,60308.63,v6,1265.629,False,10
L_abs4n100_5_L,29159.67,v9,1014.907,False,10
L_abs4n200_2_H,104973.36,v7.2,1187.393,False,7.8049873589681
L_abs4n200_2_L,30390.37,v9.2,1441.328,False,10
L_abs4n200_3_H,109766.81,v7.2,218.099,False,10
L_abs4n200_3_L,33340.37,v4.2,645.691,False,10
L_abs4n200_4_H,111813.9,v9.2,1469.434,False,10
L_abs4n200_4_L,38265,v4.2,1200.188,False,10
L_abs4n200_5_H,116263.94,v3,907.579,False,10
L_abs4n200_5_L,46249.08,v9.2,790.224,False,10
L_abs4n50_2_H,29394.52,v9.2,768.539,False,1.0704461682346
L_abs4n50_2_L,11430.12,v5,1195.421,False,4.6053317958433
L_abs4n50_3_H,32108.6,v9.2,1387.422,False,2.1617815551604
L_abs4n50_3_L,13756.42,v9.2,901.315,False,6.28151224796
L_abs4n50_4_H,33726.28,v9.1,1548.207,False,1.0074303906271
L_abs4n50_4_L,16453.37,v5,1088.908,False,7.0348126916637
L_abs4n50_5_H,37622.7,v5,1516.942,False,4.7775933517512
L_abs4n50_5_L,19691.73,v9.2,489.788,False,10
L_abs5n100_2_H,53220.48,v3,1463.116,False,1.7646698892492
L_abs5n100_2_L,16236.49,v5,413.175,False,3.5230305650238
L_abs5n100_3_H,57489.53,v2,1596.54,False,7.9665464357602
L_abs5n100_3_L,22467.27,v1,1579.339,False,10
L_abs5n100_4_H,61249.99,v6,1377.221,False,10
L_abs5n100_4_L,26238.23,v4.2,722.281,False,10
L_abs5n100_5_H,66918.25,v4.1,326.171,False,10
L_abs5n100_5_L,29092.01,v4.1,740.787,False,10
L_abs5n200_2_H,104200.17,v9.2,1248.645,False,5.9265610926886
L_abs5n200_2_L,30273.61,v1,1480.671,False,10
L_abs5n200_3_H,107861.51,v4.1,640.108,False,8.2749035818756
L_abs5n200_3_L,34371.32,v4.2,617.985,False,10
L_abs5n200_4_H,110799.58,v9.2,270.828,False,9.3191796689234
L_abs5n200_4_L,42105.1,v9,1576.961,False,10
L_abs5n200_5_H,118516.2,v9,1593.23,False,10
L_abs5n200_5_L,46773.69,v7.2,677.558,False,10
L_abs5n50_2_H,27357.59,v2,731.316,False,0.64146190186445
L_abs5n50_2_L,10863.61,v9.1,393.423,False,1.5953397636963
L_abs5n50_3_H,30105.05,v6,1300.53,False,4.553931749196
L_abs5n50_3_L,13667.21,v6,1515.97,False,8.0915145470895
L_abs5n50_4_H,32647.25,v5,911.52,False,5.8611484097279
L_abs5n50_4_L,16689.58,v9,547.8,False,10
L_abs5n50_5_H,34934.74,v5,895.005,False,6.0733880884786
L_abs5n50_5_L,20077.43,v9,406.25,False,10
L_abs6n100_2_H,52717.05,v1,334.85,False,4.6486698731342
L_abs6n100_2_L,17338.76,v1,591.84,False,7.3218679301924
L_abs6n100_3_H,55539.92,v9.2,1028.412,False,7.4553703578304
L_abs6n100_3_L,21579.51,v0,1231.447,False,10
L_abs6n100_4_H,60048.95,v9.2,1514.389,False,9.9629049539475
L_abs6n100_4_L,27707.22,v5,411.54,False,10
L_abs6n100_5_H,64354.22,v9,1587.824,False,10
